序号,标题,发布时间,链接
1,习近平对基础教育工作作出重要指示,2026/7/22,https://www.gov.cn/yaowen/liebiao/202607/content_7076265.htm
2,“培养德智体美劳全面发展的社会主义建设者和接班人”——习近平总书记的重要论述指引基础教育改革发展开创新局面,2026/7/21,https://www.gov.cn/yaowen/liebiao/202607/content_7076190.htm
3,国家主席习近平任免驻外大使,2026/7/20,https://www.gov.cn/yaowen/liebiao/202607/content_7076088.htm
4,“促进全球人工智能朝着向上向善、造福人类的方向发展”——习近平主席出席二〇二六世界人工智能大会暨人工智能全球治理高级别会议系列活动纪实,2026/7/19,https://www.gov.cn/yaowen/liebiao/202607/content_7076076.htm
5,习近平对重庆彭水县山体崩塌作出重要指示,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075959.htm
6,习近平会见联合国秘书长古特雷斯,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075930.htm
7,习近平会见柬埔寨首相洪玛奈,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075925.htm
8,习近平会见泰国总理阿努廷,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075917.htm
9,习近平在2026世界人工智能大会暨人工智能全球治理高级别会议开幕式上的主旨讲话（全文）,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075874.htm
10,习近平出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075872.htm
11,习近平宣布中国支持全球人工智能发展重大举措,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075868.htm
12,“老百姓的生活是家事，更是国事”——习近平总书记在上海考察纪实,2026/7/17,https://www.gov.cn/yaowen/liebiao/202607/content_7075834.htm
13,习近平会见哈萨克斯坦总统托卡耶夫,2026/7/16,https://www.gov.cn/yaowen/liebiao/202607/content_7075766.htm
14,习近平在上海考察时强调 全面践行人民城市理念 高质量推进城市更新,2026/7/15,https://www.gov.cn/yaowen/liebiao/202607/content_7075606.htm
15,习近平：在庆祝中国共产党成立105周年大会上的讲话,2026/7/15,https://www.gov.cn/yaowen/liebiao/202607/content_7075577.htm
16,《求是》杂志发表习近平总书记重要文章《在庆祝中国共产党成立105周年大会上的讲话》,2026/7/15,https://www.gov.cn/yaowen/liebiao/202607/content_7075573.htm
17,习近平《在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话》单行本出版,2026/7/14,https://www.gov.cn/yaowen/liebiao/202607/content_7075394.htm
18,习近平将出席2026世界人工智能大会暨人工智能全球治理高级别会议开幕式并发表主旨讲话,2026/7/13,https://www.gov.cn/yaowen/liebiao/202607/content_7075205.htm
19,习近平同朝鲜劳动党总书记、国务委员会委员长金正恩就《中朝友好合作互助条约》签订65周年互致贺电,2026/7/11,https://www.gov.cn/yaowen/liebiao/202607/content_7075063.htm
20,习近平同纳米比亚总统恩代特瓦会谈,2026/7/10,https://www.gov.cn/yaowen/liebiao/202607/content_7074978.htm
21,习近平会见朝鲜内阁总理朴泰成,2026/7/10,https://www.gov.cn/yaowen/liebiao/202607/content_7074979.htm
22,习近平对福建泉州晋江市一鞋厂火灾事故作出重要指示,2026/7/9,https://www.gov.cn/yaowen/liebiao/202607/content_7074850.htm
23,习近平：在国家科学技术奖励大会、两院院士大会、中国科协第十一次全国代表大会上的讲话,2026/7/8,https://www.gov.cn/yaowen/liebiao/202607/content_7074695.htm
24,习近平出席国家科学技术奖励大会两院院士大会中国科协第十一次全国代表大会并发表重要讲话,2026/7/8,https://www.gov.cn/yaowen/liebiao/202607/content_7074689.htm
25,《习近平关于基层工作方法的重要论述学习读本》出版发行,2026/7/8,https://www.gov.cn/yaowen/liebiao/202607/content_7074670.htm
26,习近平对防汛救灾工作作出重要指示强调 要全力组织抢险救援、伤员救治、群众安置 扎实做好防灾救灾各项工作 确保人民群众生命财产安全,2026/7/7,https://www.gov.cn/yaowen/liebiao/202607/content_7074490.htm
27,总书记的人民情怀 | “建设社会主义现代化强国，关键在科技自立自强”,2026/7/7,https://www.gov.cn/yaowen/liebiao/202607/content_7074457.htm
28,习近平致电祝贺藤森庆子当选秘鲁总统,2026/7/6,https://www.gov.cn/yaowen/liebiao/202607/content_7074424.htm
29,习近平同黑山总统米拉托维奇就中国同黑山建交20周年互致贺电,2026/7/6,https://www.gov.cn/yaowen/liebiao/202607/content_7074419.htm
30,《习近平关于基层工作方法论述摘编》出版发行,2026/7/5,https://www.gov.cn/yaowen/liebiao/202607/content_7074369.htm
31,中央军委举行晋升上将军衔仪式 习近平颁发命令状并向晋衔的军官表示祝贺,2026/7/3,https://www.gov.cn/yaowen/liebiao/202607/content_7074235.htm
32,习近平《在庆祝中国共产党成立105周年大会上的讲话》单行本出版,2026/7/3,https://www.gov.cn/yaowen/liebiao/202607/content_7074214.htm
33,“奋力创造新的历史辉煌！”——庆祝中国共产党成立105周年大会侧记,2026/7/3,https://www.gov.cn/yaowen/liebiao/202607/content_7074162.htm
34,【微观察·习近平总书记在庆祝中国共产党成立一百零五周年大会上发表重要讲话】“中国共产党为什么能的关键密码”,2026/7/3,https://www.gov.cn/yaowen/liebiao/202607/content_7074159.htm
35,习近平致电祝贺德拉埃斯普列亚当选哥伦比亚总统,2026/7/1,https://www.gov.cn/yaowen/liebiao/202607/content_7073985.htm
36,习近平：在庆祝中国共产党成立105周年大会上的讲话,2026/7/1,https://www.gov.cn/yaowen/liebiao/202607/content_7073949.htm
37,庆祝中国共产党成立105周年大会在京隆重举行,2026/7/1,https://www.gov.cn/yaowen/liebiao/202607/content_7073947.htm
38,中共中央政治局召开会议 研究部署防汛抗旱工作 中共中央总书记习近平主持会议,2026/6/30,https://www.gov.cn/yaowen/liebiao/202606/content_7073773.htm
39,习近平：做焦裕禄式的县委书记,2026/6/30,https://www.gov.cn/yaowen/liebiao/202606/content_7073771.htm
40,习近平同塞舌尔总统赫米尼耶就中塞建交50周年互致贺电,2026/6/30,https://www.gov.cn/yaowen/liebiao/202606/content_7073768.htm
41,《求是》杂志发表习近平总书记重要文章《做焦裕禄式的县委书记》,2026/6/30,https://www.gov.cn/yaowen/liebiao/202606/content_7073766.htm
42,庆祝中国共产党成立105周年音乐会《人民至上》在京举行 习近平李强赵乐际王沪宁蔡奇丁薛祥李希韩正出席观看,2026/6/29,https://www.gov.cn/yaowen/liebiao/202606/content_7073700.htm
43,庆祝中国共产党成立105周年大会7月1日上午在京隆重举行 习近平将向“七一勋章”获得者颁授勋章并发表重要讲话,2026/6/29,https://www.gov.cn/yaowen/liebiao/202606/content_7073660.htm
